time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
698.3567134268537,11.639278557114228,0.0,541075.5885086044,0.5,0.0,0.0,60.8,0.1,3944.3,15.2
701.2424849699398,11.687374749498998,0.0,542880.7563594982,0.4,0.0,0.0,57.5,0.1,3833.8,15.4
704.128256513026,11.735470941883767,0.0,544703.6910185074,0.4,0.0,0.0,53.4,0.1,3731.0,15.6
707.0140280561122,11.783567134268537,0.0,546510.9955078174,0.4,0.0,0.0,50.3,0.1,3628.0,15.8
709.8997995991984,11.831663326653306,0.0,548343.2256631723,0.3,0.0,0.0,48.5,0.1,3527.1,15.6
712.7855711422845,11.879759519038076,0.0,550162.2913600109,0.3,0.0,0.0,45.2223707021996,0.1,3435.701820925129,15.6
715.6713426853707,11.927855711422845,0.0,551981.9313998984,0.3,0.0,0.0,42.9,0.1,3338.0,15.7
718.557114228457,11.975951903807616,0.0,553793.0588616045,0.3,0.0,0.0,40.5,0.1,3242.3,15.5
721.442885771543,12.024048096192384,0.0,555606.7972093673,0.3,0.0,0.0,37.8,0.1,3149.685644664438,15.9
724.3286573146293,12.072144288577155,0.0,557450.6654598517,0.2,0.0,0.0,35.6,0.1,3061.1,15.8
727.2144288577155,12.120240480961924,0.0,559333.558113367,0.2,0.0,0.0,33.7,0.1,2977.5,16.0
730.1002004008016,12.168336673346694,0.0,561207.301463241,0.2,0.0,0.0,32.1,0.1,2902.8,16.0
732.9859719438878,12.216432865731463,0.0,563116.7337918485,0.2,0.0,0.0,30.4,0.1,2818.7709248337055,16.0
735.871743486974,12.264529058116233,0.0,564985.5325310127,0.2,0.0,0.0,29.3,0.1,2738.0,15.8
738.7575150300602,12.312625250501002,0.0,566823.562054054,0.2,0.0,0.0,27.5,0.1,2661.165490780569,15.4
741.6432865731463,12.360721442885772,0.0,568607.8890298106,0.1,0.0,0.0,25.5,0.1,2585.5,15.3
744.5290581162325,12.408817635270541,0.0,570321.7753027931,0.1,0.0,0.0,24.3,0.1,2516.4,15.2
747.4148296593187,12.45691382765531,0.0,571987.4385595967,0.1,0.0,0.0,23.0,0.1,2447.027426321134,14.9
750.3006012024048,12.50501002004008,0.0,573637.8918884933,0.1,0.0,0.0,22.2,0.1,2380.7,14.9
753.186372745491,12.553106212424849,0.0,575240.3596935275,0.1,0.0,0.0,21.0,0.1,2316.2,14.4
756.0721442885772,12.60120240480962,0.0,576720.1196756372,0.1,0.0,0.0,19.8,0.1,2253.2,14.1
758.9579158316633,12.649298597194388,0.0,578236.6001680994,0.1,0.0,0.0,18.0,0.1,2194.1,14.1
761.8436873747495,12.697394789579159,0.0,579692.4971930117,0.1,0.0,0.0,17.1,0.1,2128.4,14.0
764.7294589178357,12.745490981963927,0.0,581146.4234455404,0.1,0.0,0.0,15.9,0.1,2073.4,13.9
767.6152304609218,12.793587174348698,0.0,582566.5439443549,0.0,0.0,0.0,15.2,0.1,2018.4,13.7
770.501002004008,12.841683366733466,0.0,584025.0072700006,0.0,0.0,0.0,14.0,0.1,1964.6087431902129,13.6
773.3867735470942,12.889779559118237,0.0,585368.0154387063,0.0,0.0,0.0,13.7,0.1,1911.1,13.4
776.2725450901804,12.937875751503006,0.0,586703.4303979076,0.0,0.0,0.0,13.2,0.1,1855.7,12.9
779.1583166332665,12.985971943887776,0.0,587913.8857919918,0.0,0.0,0.0,12.1,0.1,1804.2,12.7
782.0440881763527,13.034068136272545,0.0,589149.6945706591,0.0,0.0,0.0,11.8,0.1,1752.2,12.7
